0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 0, 22, 385987, 35402, 8688, 26445, 10875, 7267, 63, 4074, 603, 0, 119, 64541
30, 0, 0, 1628762, 39606, 23535, 53687, 32913, 38228, 80, 16444, 1121, 0, 37, 215176
44, 0, 0, 1697566, 16674, 16680, 6931, 18252, 14850, 80, 3401, 1634, 0, 112, 28362
29, 0, 0, 322054, 185632, 85721, 171619, 40704, 53907, 70, 16728, 2147, 0, -34, 1975952
37, 0, 5, 588086, 30283, 11030, 26092, 32299, 21414, 70, 5364, 2661, 0, 261, 33654
30, 0, 0, 633195, 8366, 12561, 118801, 22055, 20834, 81, 7382, 3173, 0, 249, 120147
16, 0, 0, 975418, 43242, 47581, 36613, 69567, 21723, 67, 6806, 3618, 0, 226, 609365
30, 0, 0, 768989, 16770, 12160, 5981, 6164, 3583, 78, 859, 4148, 0, 297, 41599
11, 0, 0, 1899865, 24128, 7024, 19581, 8334, 6015, 57, 2197, 4657, 0, 348, 368477
24, 0, 0, 252094, 6787, 7426, 18717, 8446, 5296, 56, 891, 5136, 0, 231, 16911
23, 0, 0, 866681, 31008, 13028, 43001, 7077, 30506, 74, 2258, 5654, 0, -338, 153228
23, 0, 0, 1092745, 82111, 88795, 91088, 140618, 44865, 74, 19392, 6247, 25, -154, 359839
23, 0, 0, 1890939, 19148, 34618, 12958, 30554, 6791, 74, 940, 6771, 25, -220, 173927
23, 0, 0, 922221, 11187, 6270, 18732, 12641, 6162, 74, 12618, 7264, 25, 603, 378092
14, 0, 0, 75331, 3766, 2886, 7613, 5570, 828, 70, 199, 7767, 0, 311, 22952
23, 0, 0, 186508, 65459, 13509, 49153, 38156, 11352, 84, 5724, 8268, 0, 129, 233415
20, 0, 0, 1327564, 18050, 12463, 15320, 9677, 16595, 78, 10883, 8826, 0, 320, 69464
21, 0, 0, 1033920, 2585, 3273, 8991, 5246, 1785, 74, 591, 9335, 0, 305, 34907
17, 0, 15, 581187, 5806, 6321, 9990, 18203, 6192, 61, 1287, 9851, 0, 96, 103762
20, 0, 0, 590362, 151306, 25383, 83530, 26565, 19962, 67, 14704, 10359, 0, 86, 286158
11, 0, 0, 65765, 14724, 10110, 26516, 24959, 25349, 64, 8946, 10878, 0, -43, 123863
11, 0, 0, 137635, 11211, 15060, 30726, 43451, 5476, 64, 4468, 11392, 26, 240, 37121
4, 0, 0, 54497, 12599, 4682, 6139, 3047, 1799, 57, 2187, 11842, 0, 250, 118761
3, 0, 0, 1551010, 12604, 9717, 20850, 8133, 12913, 61, 4889, 12334, 0, -40, 190660
3, 0, 0, 749129, 32982, 14293, 152698, 16699, 12409, 67, 4326, 12908, 0, -14, 102917
3, 0, 0, 559948, 12455, 27450, 54591, 7385, 12496, 63, 9267, 13395, 0, 85, 413046
11, 0, 0, 2012944, 21236, 8060, 29238, 17986, 27756, 78, 18057, 13923, 0, 112, 55187
21, 0, 0, 715228, 354, 4913, 3190, 3474, 6594, 69, 798, 14469, 0, 139, 40533
30, 0, 0, 314903, 15004, 41120, 23528, 22194, 38682, 43, 11340, 14979, 0, 25, 283998
35, 0, 0, 579718, 18894, 11665, 41614, 4775, 5625, 57, 1538, 15470, 0, 135, 78240
48, 0, 0, 89601, 14997, 36680, 20941, 21369, 34670, 50, 6535, 15988, 0, 86, 63932
54, 0, 62, 624902, 6268, 19277, 16326, 6280, 53189, 63, 9002, 16522, 0, 96, 64443
63, 0, 0, 4596, 7409, 22758, 49776, 7363, 19155, 87, 7316, 17030, 0, -6, 22118
78, 0, 0, 71991, 12117, 18431, 10602, 4998, 7636, 84, 3007, 17560, 0, -7, 20798
80, 0, 0, 16641, 4105, 28225, 8183, 12927, 11889, 78, 9736, 18074, 0, 107, 52801
75, 0, 0, 75165, 4448, 4739, 6748, 1867, 2340, 81, 1198, 18588, 0, 34, 21672
77, 0, 0, 131062, 20271, 23034, 4234, 27128, 12318, 66, 6185, 19102, 0, -34, 37069
64, 0, 0, 1225344, 22865, 11263, 27324, 10965, 10060, 70, 8412, 19605, 0, 50, 33340
44, 0, 0, 460102, 186349, 24581, 80290, 53377, 5572, 93, 3516, 20056, 0, 32, 202110
38, 0, 0, 2185314, 15350, 5227, 12416, 18574, 2044, 91, 1411, 20576, 0, 121, 52197
26, 0, 0, 144908, 3887, 2270, 502, 2070, 2169, 90, 742, 21104, 0, 98, 16974
44, 0, 0, 44834, 2719, 19014, 4872, 1753, 7195, 74, 6062, 21606, 0, 21, 18189
67, 0, 143, 13063, 3690, 11825, 4502, 3195, 6411, 63, 3278, 22098, 0, 135, 9437
81, 0, 0, 24281, 9378, 10791, 23283, 9345, 11617, 77, 3209, 22673, 0, 43, 7531
88, 0, 0, 17150, 5031, 10058, 18577, 6371, 3707, 87, 4112, 23178, 0, 145, 25843
70, 0, 0, 6809, 2318, 9217, 48782, 7487, 11340, 100, 3136, 23705, 0, 75, 17953
57, 0, 0, 58410, 12289, 16171, 19221, 16503, 14818, 100, 2349, 24212, 0, 64, 62455
51, 0, 0, 350047, 3962, 6643, 2062, 4237, 4392, 80, 1383, 24742, 0, 91, 46195
35, 0, 11, 2025497, 250315, 48288, 526870, 29169, 36910, 88, 23098, 25262, 0, 57, 613777
44, 0, 0, 17432, 8610, 18156, 16873, 6615, 12600, 78, 18108, 25777, 0, 129, 16275
64, 0, 0, 30341, 983, 27375, 6145, 12414, 14218, 69, 15073, 26291, 0, 20, 8346
48, 0, 0, 152101, 8903, 736, 8707, 2832, 1522, 94, 2042, 26806, 0, 149, 10182
57, 0, 0, 145340, 10830, 7631, 22698, 4343, 4836, 90, 10975, 27319, 0, 69, 47659
57, 0, 0, 31986, 3850, 25044, 1791, 6926, 11205, 67, 6119, 27832, 0, -40, 41052
38, 0, 0, 200519, 31605, 11490, 18567, 9563, 19952, 91, 6288, 28252, 0, 20, 12645
38, 0, 0, 732009, 30188, 16641, 22568, 21641, 8621, 63, 10310, 28766, 0, -178, 659489
38, 0, 0, 1206492, 13913, 11136, 45431, 12968, 3202, 63, 1204, 29314, 26, 34, 122936
35, 0, 0, 643616, 45294, 12869, 2730, 14046, 16875, 53, 5398, 29833, 0, 102, 160475
35, 0, 0, 736298, 15002, 3819, 19804, 6765, 4721, 53, 1385, 30370, 26, -185, 86074
